x,y
150.0,0.0
149.977,2.625
149.908,5.25
149.793,7.872
149.633,10.493
149.426,13.11
149.174,15.723
148.876,18.331
148.532,20.934
148.143,23.53
147.708,26.119
147.229,28.7
146.704,31.272
146.134,33.835
145.52,36.387
144.861,38.929
144.157,41.458
143.409,43.974
142.618,46.477
141.783,48.966
140.904,51.44
139.982,53.898
139.017,56.34
138.01,58.764
136.961,61.17
135.869,63.558
134.736,65.926
133.561,68.274
132.346,70.601
131.09,72.906
129.794,75.189
128.459,77.449
127.083,79.686
125.669,81.898
124.217,84.084
122.726,86.245
121.198,88.38
119.633,90.488
118.031,92.567
116.393,94.619
114.719,96.641
113.01,98.634
111.267,100.597
109.489,102.529
107.678,104.429
105.834,106.298
103.957,108.134
102.049,109.937
100.109,111.706
98.139,113.441
96.139,115.141
94.109,116.806
92.05,118.435
89.963,120.028
87.849,121.584
85.708,123.102
83.54,124.584
81.347,126.026
79.129,127.431
76.887,128.796
74.621,130.122
72.332,131.408
70.021,132.654
67.689,133.859
65.336,135.023
62.963,136.146
60.57,137.227
58.16,138.266
55.731,139.263
53.285,140.217
50.823,141.128
48.345,141.996
45.853,142.82
43.346,143.6
40.827,144.337
38.294,145.029
35.75,145.677
33.195,146.281
30.63,146.839
28.056,147.353
25.472,147.821
22.882,148.245
20.284,148.622
17.679,148.954
15.07,149.241
12.456,149.482
9.838,149.677
7.217,149.826
4.594,149.93
1.969,149.987
-0.656,149.999
-3.281,149.964
-5.905,149.884
-8.528,149.757
-11.147,149.585
-13.763,149.367
-16.375,149.103
-18.982,148.794
-21.583,148.439
-24.178,148.039
-26.765,147.593
-29.344,147.102
-31.914,146.566
-34.474,145.985
-37.024,145.359
-39.562,144.689
-42.088,143.974
-44.601,143.216
-47.101,142.413
-49.586,141.567
-52.056,140.678
-54.51,139.745
-56.947,138.77
-59.367,137.752
-61.769,136.692
-64.152,135.59
-66.515,134.446
-68.858,133.261
-71.179,132.036
-73.479,130.77
-75.757,129.464
-78.011,128.118
-80.241,126.734
-82.447,125.31
-84.627,123.848
-86.782,122.348
-88.909,120.81
-91.01,119.236
-93.083,117.625
-95.127,115.978
-97.142,114.295
-99.128,112.577
-101.083,110.825
-103.007,109.039
-104.899,107.22
-106.76,105.368
-108.588,103.483
-110.382,101.567
-112.143,99.619
-113.869,97.642
-115.56,95.634
-117.216,93.597
-118.836,91.531
-120.42,89.437
-121.967,87.316
-123.476,85.168
-124.948,82.994
-126.381,80.795
-127.776,78.571
-129.131,76.322
-130.447,74.051
-131.723,71.756
-132.959,69.44
-134.154,67.103
-135.308,64.744
-136.42,62.367
-137.491,59.969
-138.519,57.554
-139.505,55.121
